Variable 1,Variable 2,Cramérs V,Chi2,Valor p
CLASIFICACION,CLASE,1.0,107132.00000000003,0.0
CLASIFICACION,SERVICIO,0.1348196548188963,1947.2675846180034,0.0
CLASIFICACION,CARROCERIA,0.470777854769152,23743.85676997921,0.0
CLASIFICACION,DEPARTAMENTO,0.10858152649828945,1263.0806980691286,8.88276738251005e-229
CLASE,SERVICIO,0.6090809002672992,39743.78040822063,0.0
CLASE,CARROCERIA,0.7251570163712887,225342.60513674532,0.0
CLASE,DEPARTAMENTO,0.11499313817792028,5666.60650911187,0.0
SERVICIO,CARROCERIA,0.6747397968754862,48774.392043910615,0.0
SERVICIO,DEPARTAMENTO,0.12576167238394678,1694.3995235341529,0.0
CARROCERIA,DEPARTAMENTO,0.08977899968511892,11657.421658127223,0.0
