ds,y
2010-01-31,1
2010-02-28,0
2010-03-31,4
2010-04-30,1
2010-05-31,1
2010-06-30,0
2010-07-31,5
2010-08-31,5
2010-09-30,3
2010-10-31,16
2010-11-30,5
2010-12-31,3
2011-01-31,3
2011-02-28,4
2011-03-31,10
2011-04-30,10
2011-05-31,6
2011-06-30,9
2011-07-31,12
2011-08-31,8
2011-09-30,4
2011-10-31,22
2011-11-30,8
2011-12-31,16
2012-01-31,14
2012-02-29,11
2012-03-31,16
2012-04-30,5
2012-05-31,14
2012-06-30,13
2012-07-31,9
2012-08-31,4
2012-09-30,14
2012-10-31,12
2012-11-30,11
2012-12-31,37
2013-01-31,7
2013-02-28,15
2013-03-31,24
2013-04-30,6
2013-05-31,113
2013-06-30,13
2013-07-31,8
2013-08-31,63
2013-09-30,26
2013-10-31,6
2013-11-30,7
2013-12-31,18
2014-01-31,15
2014-02-28,22
2014-03-31,99
2014-04-30,43
2014-05-31,13
2014-06-30,88
2014-07-31,29
2014-08-31,23
2014-09-30,34
2014-10-31,21
2014-11-30,22
2014-12-31,66
2015-01-31,35
2015-02-28,48
2015-03-31,47
2015-04-30,48
2015-05-31,51
2015-06-30,85
2015-07-31,43
2015-08-31,39
2015-09-30,49
2015-10-31,69
2015-11-30,41
2015-12-31,30
2016-01-31,43
2016-02-29,90
2016-03-31,26
2016-04-30,26
2016-05-31,15
2016-06-30,37
2016-07-31,25
2016-08-31,31
2016-09-30,31
2016-10-31,40
2016-11-30,69
2016-12-31,75
2017-01-31,25
2017-02-28,38
2017-03-31,39
2017-04-30,24
2017-05-31,30
2017-06-30,25
2017-07-31,15
2017-08-31,19
2017-09-30,27
2017-10-31,29
2017-11-30,23
2017-12-31,19
2018-01-31,41
2018-02-28,35
2018-03-31,40
2018-04-30,41
2018-05-31,63
2018-06-30,63
2018-07-31,44
2018-08-31,48
2018-09-30,79
2018-10-31,107
2018-11-30,193
2018-12-31,238
2019-01-31,79
2019-02-28,178
2019-03-31,160
2019-04-30,193
2019-05-31,242
2019-06-30,136
2019-07-31,208
2019-08-31,231
2019-09-30,283
2019-10-31,257
2019-11-30,565
2019-12-31,651
2020-01-31,370
2020-02-29,351
2020-03-31,325
2020-04-30,5
2020-05-31,351
2020-06-30,385
2020-07-31,423
2020-08-31,338
2020-09-30,495
2020-10-31,666
2020-11-30,1043
2020-12-31,1341
2021-01-31,665
2021-02-28,1108
2021-03-31,1035
2021-04-30,916
2021-05-31,1107
2021-06-30,2170
2021-07-31,1919
2021-08-31,1273
2021-09-30,1136
2021-10-31,2362
2021-11-30,2287
2021-12-31,1918
2022-01-31,1646
2022-02-28,1777
2022-03-31,2243
2022-04-30,2891
2022-05-31,3076
2022-06-30,2205
2022-07-31,2601
2022-08-31,2871
2022-09-30,2379
2022-10-31,2236
2022-11-30,1953
